dataset,commit,verdict,detail,rows_before,rows_after,rows_changed,columns_lost,columns_added,skipped
VerbACxSS/s-ItaIst,c3b7e96f13aa7493f7b3929a45a41d112563ee86,unreadable,no readable tabular file at either revision,,,,,,documents/2017-06-23_SAPGR - Servizio Provveditorato e Centrale Unica di Committenza_6d52bcc84ee3fa9bfec74bb009537bd2/gpt3_5.csv:lfs-pointer; documents/2017-06-23_SAPGR - Servizio Provveditorato e Centrale Unica di Committenza_6d52bcc84ee3fa9bfec74bb009537bd2/gpt4.csv:lfs-pointer; documents/2017-06-23_SAPGR - Servizio Provveditorato e Centrale Unica di Committenza_6d52bcc84ee3fa9bfec74bb009537bd2/human1.csv:lfs-pointer; documents/2017-06-23_SAPGR - Servizio Provveditorato e Centrale Unica di Committenza_6d52bcc84ee3fa9bfec74bb009537bd2/human2.csv:lfs-pointer; documents/2019-07-18_Comune di Rovigo (RO)_aae5c6f0c213946d265cb98c08106c0b/gpt3_5.csv:lfs-pointer; documents/2019-07-18_Comune di Rovigo (RO)_aae5c6f0c213946d265cb98c08106c0b/gpt4.csv:lfs-pointer; documents/2019-07-18_Comune di Rovigo (RO)_aae5c6f0c213946d265cb98c08106c0b/human1.csv:lfs-pointer; documents/2019-07-18_Comune di Rovigo (RO)_aae5c6f0c213946d265cb98c08106c0b/human2.csv:lfs-pointer; documents/2020-06-23_Comune di Benevento (BN)_2f4c39c9fb796e5066ac28770c5724d6/gpt3_5.csv:lfs-pointer; documents/2020-06-23_Comune di Benevento (BN)_2f4c39c9fb796e5066ac28770c5724d6/gpt4.csv:lfs-pointer; documents/2020-06-23_Comune di Benevento (BN)_2f4c39c9fb796e5066ac28770c5724d6/human1.csv:lfs-pointer; documents/2020-06-23_Comune di Benevento (BN)_2f4c39c9fb796e5066ac28770c5724d6/human2.csv:lfs-pointer; documents/2020-12-01_Comune di Viterbo (VT)_396505aaf67c46b9ec1a6818d8fb9af6/gpt3_5.csv:lfs-pointer; documents/2020-12-01_Comune di Viterbo (VT)_396505aaf67c46b9ec1a6818d8fb9af6/gpt4.csv:lfs-pointer; documents/2020-12-01_Comune di Viterbo (VT)_396505aaf67c46b9ec1a6818d8fb9af6/human1.csv:lfs-pointer; documents/2020-12-01_Comune di Viterbo (VT)_396505aaf67c46b9ec1a6818d8fb9af6/human2.csv:lfs-pointer; documents/2021-05-17_Comune di Firenze (FI)_70da2ae575436d19518deae1ff2125b0/gpt3_5.csv:lfs-pointer; documents/2021-05-17_Comune di Firenze (FI)_70da2ae575436d19518deae1ff2125b0/gpt4.csv:lfs-pointer; documents/2021-05-17_Comune di Firenze (FI)_70da2ae575436d19518deae1ff2125b0/human1.csv:lfs-pointer; documents/2021-05-17_Comune di Firenze (FI)_70da2ae575436d19518deae1ff2125b0/human2.csv:lfs-pointer; documents/2022-08-02_Regione Lombardia_3e0abd25f3bcf417e9e0a8b74e158ef5/gpt3_5.csv:lfs-pointer; documents/2022-08-02_Regione Lombardia_3e0abd25f3bcf417e9e0a8b74e158ef5/gpt4.csv:lfs-pointer; documents/2022-08-02_Regione Lombardia_3e0abd25f3bcf417e9e0a8b74e158ef5/human1.csv:lfs-pointer; documents/2022-08-02_Regione Lombardia_3e0abd25f3bcf417e9e0a8b74e158ef5/human2.csv:lfs-pointer; documents/2022-12-22_Provincia di Catanzaro (CZ)_07108e7d68b7e897ed6a800be9802105/gpt3_5.csv:lfs-pointer; documents/2022-12-22_Provincia di Catanzaro (CZ)_07108e7d68b7e897ed6a800be9802105/gpt4.csv:lfs-pointer; documents/2022-12-22_Provincia di Catanzaro (CZ)_07108e7d68b7e897ed6a800be9802105/human1.csv:lfs-pointer; documents/2022-12-22_Provincia di Catanzaro (CZ)_07108e7d68b7e897ed6a800be9802105/human2.csv:lfs-pointer; documents/2022-12-30_Regione Basilicata_99bdc9fdd8097f067f77cb220074b1b5/gpt3_5.csv:lfs-pointer; documents/2022-12-30_Regione Basilicata_99bdc9fdd8097f067f77cb220074b1b5/gpt4.csv:lfs-pointer; documents/2022-12-30_Regione Basilicata_99bdc9fdd8097f067f77cb220074b1b5/human1.csv:lfs-pointer; documents/2022-12-30_Regione Basilicata_99bdc9fdd8097f067f77cb220074b1b5/human2.csv:lfs-pointer
Allen0307/LLMAgent,d1b53424c693c93a6ad03f00c95b2ab0f99d6a11,no-shared-columns,column names share nothing; compare by hand,200,0,0,conversations; reward; ground_truth; source,,
Allen0307/LLMAgent,a4af28caa22c409d458b4cb6fa15712711ee96fb,adds-columns,no row lost; derivability of the added columns needs a human,0,46,0,,conversations; reward; ground_truth; source,
Allen0307/LLMAgent,1b61dc0f650bef74abe5b59acf52437be5cbc197,adds-columns,no row lost; derivability of the added columns needs a human,0,4,0,,conversations; reward; ground_truth; source,
JuanPF7/co2_emissions_cleaned,e9958f148d044624f11104b20c0fe000c6cf9ad1,adds-columns,no row lost; derivability of the added columns needs a human,0,59620,0,,Country; Code; Year; CO2 emission (Tons); Population(2022); Area; Density(km2),
StephJosh/mai001,7fd02f863fd8ee7495d27b8ff75aecde1a53fae1,adds-columns,no row lost; derivability of the added columns needs a human,0,144,0,,crop_variety; t_mean_Q1; t_mean_Q2; t_mean_Q3; t_mean_Q4; t_max_Q1; t_max_Q2; t_max_Q3; t_max_Q4; t_min_Q1; t_min_Q2; t_min_Q3; t_min_Q4; w_mean_Q1; w_mean_Q2; w_mean_Q3; w_mean_Q4; w_max_Q1; w_max_Q2; w_max_Q3; w_max_Q4; h_mean_Q1; h_mean_Q2; h_mean_Q3; h_mean_Q4; r_sum_Q1; r_sum_Q2; r_sum_Q3; r_sum_Q4,
jag2023/10K_bug_reports,28a5470d761494976d1bc15ec89f3a31d9c99990,unreadable,no readable tabular file at either revision,,,,,,Cleaned_Bug_Comments_10_k.csv:lfs-pointer
terminxted/gte_games,1dc681bfbe5f838c1d7e9717c3cf42f2ef9d2cca,unreadable,no readable tabular file at either revision,,,,,,cleaned_chess_games.csv:lfs-pointer
Anupam007/Indian_recipe,1ac6404fc7e6f527e175d9d1442d5b8b977da20b,unreadable,no readable tabular file at either revision,,,,,,Cleaned_Indian_Food_Dataset.csv:lfs-pointer
progamrer/schack,56f4bbb6651b4c9d5ebe3020384f74edc446677d,no-tabular-change,the commit touched no file this check can read,,,,,,
Anupam007/diabetic-food-analyzer,25a91baf8c4a4ab3a4693b15626311a6e586f6b3,adds-columns,no row lost; derivability of the added columns needs a human,0,1070,0,,food_name; primarysource; carb_g; servings_unit; glycemic_index; unit_serving_carb_g,
Anupam007/diabetic-food-analyzer,47849100300018174c3850e3171c5ab9e0272c3e,adds-columns,no row lost; derivability of the added columns needs a human,0,1070,0,,food_name; primarysource; carb_g; servings_unit; glycemic_index; unit_serving_carb_g,
Anupam007/diabetic-food-analyzer,827110ef79cf745efc7e6c8b95c46e5d55f39131,adds-columns,no row lost; derivability of the added columns needs a human,0,1070,0,,food_name; primarysource; carb_g; servings_unit; Glycemic Index; unit_serving_carb_g,
Anupam007/diabetic-food-analyzer,54649ef37f41303dfc9653211123768f41a91144,adds-columns,no row lost; derivability of the added columns needs a human,0,1066,0,,food_name; primarysource; carb_g; servings_unit; unit_serving_carb_g,
Anupam007/diabetic-food-analyzer,888824dd6f15f7818cc2cc6b2ec35d9ff39f79db,adds-columns,no row lost; derivability of the added columns needs a human,0,1065,0,,food_name; primarysource; carb_g; servings_unit; unit_serving_carb_g,
Bur3hani/camedu,c5c34a0088224aab46f4a40c13c5a8d7e277dbc5,adds-columns,no row lost; derivability of the added columns needs a human,0,25,0,,Province; Schools; Total Enrolment; Girls Enrolled; Total Repeaters; Girls Repeating; Total Teachers; Female Teachers; % Girls Enrolled; % Female Teachers; % Girls Repeating,
agrawalchaitany/cyberbert_dataset,9ab4002e25b1cd13fee975e7baf6dcb5e808c082,unreadable,no readable tabular file at either revision,,,,,,clean_data.csv:lfs-pointer
Digital-Dermatology/CleanPatrick,823957a72883d8259ae54b8625d6dbcfd1bc4c91,no-tabular-change,the commit touched no file this check can read,,,,,,
brickbazooka9/LondonRealEstate1995to2024,34aa333fed908da8096fdf88c877c0833c9a3989,unreadable,no readable tabular file at either revision,,,,,,cleaned_data.csv:lfs-pointer
Maxipulus/max_tmp_0417,d9fc1de895ca3fd47b47913ee5692e794edb2b4f,adds-columns,no row lost; derivability of the added columns needs a human,0,27540,0,,primary_label; secondary_labels; type; filename; collection; rating; url; latitude; longitude; scientific_name; common_name; author; license; process,
maringetxway/local,3f6486c81f745d5fadbaee9ed55cd3869e4807cd,adds-columns,no row lost; derivability of the added columns needs a human,0,6,0,,city; latitude; longitude; postcode; full-address,
nataliecastro/csci-5832-project-dataset,7f71d3eb53c5d2c9062e505536e6ed1d1f75d3db,unreadable,no readable tabular file at either revision,,,,,,Cleaned Sentiment140 Dataset with Tokenized Sequences.csv:lfs-pointer
TaengooTV/math_onet,14e283509b943a95aebc30ab372318cf35467eec,adds-columns,no row lost; derivability of the added columns needs a human,0,191,0,,test; years; problem; question; choice 1; choice 2; choice 3; choice 4; choice 5; choice_ans; num_ans,
DeepMostInnovations/saas-sales-conversations,339a841360b19a1bcd41b25acae39e0bb20757d6,unreadable,no readable tabular file at either revision,,,,,,cleaned_custom_dataset.csv:lfs-pointer
plnezooo/clean_dataset,b0591c2413c870f70c5f12ddf7774ebabed04544,unreadable,no readable tabular file at either revision,,,,,,clean_dataset.csv:lfs-pointer
sid15500/patient_encounters,49d292dbc104a602234b73832b9ad16553e29efd,columns-lost,"every row survives, but 1 column(s) do not",1746,1746,0,DESCRIPTION_MEDICATIONS,,
jlechtne/cleaned_data,e3a2b9f5856e0e72698f47bb9dd76a70d0008fe8,adds-columns,no row lost; derivability of the added columns needs a human,0,1738,0,,DESCRIPTION; BASE_ENCOUNTER_COST; TOTAL_CLAIM_COST; PAYER_COVERAGE; REASONDESCRIPTION; PATIENT_AGE; DESCRIPTION_OBSERVATIONS; DESCRIPTION_CONDITIONS; DESCRIPTION_MEDICATIONS; DESCRIPTION_PROCEDURES; ENCOUNTER_LENGTH; CLINICAL_NOTES_LEMMATIZED,
ohdoking/energy_consumption_by_model_and_gpu,99c245821b0916e93ac4bf094f984cf2c91fe171,no-shared-columns,column names share nothing; compare by hand,35,0,0,model_name; huggingface_model; num_params; hidden_size; num_layers; vocab_size; seq_length; model_type; timestamp; hardware_cpu; hardware_gpu; hardware_ram; total_prompts; average_runtime; average_energy; average_co2; benchmark_timestamp; prompt_index; prompt_text; prompt_runtime; prompt_energy; prompt_co2; prompt_response,,
pushthetempo/cleaned-data,fe4a3791e999d5bb5d3d78644a766509cfe6cf92,adds-columns,no row lost; derivability of the added columns needs a human,0,10,0,,Event_ID; Timestamp; Vehicle_Type; Speed_kmh; Latitude; Longitude; Event_Type; Severity,
maulerrr/test,9aaf172d3868a24f621122e2e590c50ec1819205,values-rewritten,"row count holds at 10, but 3 row(s) changed value in a shared column",10,10,3,,,
tabularisai/swahili_sentiment_dataset,76c705df4de60098f5d9013f7997798b7c2c2f9d,unreadable,no readable tabular file at either revision,,,,,,cleaned_swahili_data (2).csv:lfs-pointer; swahili_data.csv:lfs-pointer
Sadaftb/clinical-nlp-dataset-raw,d77c4eef0f8354bea58da183e8c68b2aa3514c54,unreadable,no readable tabular file at either revision,,,,,,features.csv:lfs-pointer; patient_notes.csv:lfs-pointer; test.csv:lfs-pointer; train.csv:lfs-pointer
fdemelo/ipa-childes-split,a13fed8856f41b63e899535d5adc5b9e9699f217,unreadable,no readable tabular file at either revision,,,,,,test/cy-GB/data.csv:lfs-pointer; test/de-DE/data.csv:lfs-pointer; test/es-ES/data.csv:lfs-pointer; test/eu-ES/data.csv:lfs-pointer; test/fa-IR/data.csv:lfs-pointer; test/fr-FR/data.csv:lfs-pointer; test/ga-IE/data.csv:lfs-pointer; test/id-ID/data.csv:lfs-pointer; test/ja-JP/data.csv:lfs-pointer; test/ko-KR/data.csv:lfs-pointer; test/yue-CN/data.csv:lfs-pointer; test/zh-CN/data.csv:lfs-pointer; train/cy-GB/data.csv:lfs-pointer; train/da-DK/data.csv:lfs-pointer; train/de-DE/data.csv:lfs-pointer; train/es-ES/data.csv:lfs-pointer; train/eu-ES/data.csv:lfs-pointer; train/fa-IR/data.csv:lfs-pointer; train/ga-IE/data.csv:lfs-pointer; train/id-ID/data.csv:lfs-pointer; train/ja-JP/data.csv:lfs-pointer; train/ko-KR/data.csv:lfs-pointer; train/sr-RS/data.csv:lfs-pointer; train/yue-CN/data.csv:lfs-pointer; train/zh-CN/data.csv:lfs-pointer
Textovic/hh_vacancy,1f73a3a0392942a6970eb8b76a87b23d2535c7ab,unreadable,no readable tabular file at either revision,,,,,,cleaned_data.csv:lfs-pointer
